שם רשות מקומית,שנה,"סה""כ חיוב ארנונה"
אבו גוש,2019,"11,796"
אבו גוש,2018,"11,727"
אבו גוש,2017,"12,737"
אבו גוש,2016,"9,510"
אבו גוש,2015,"10,405"
אבו סנאן,2019,"18,509"
אבו סנאן,2018,"18,265"
אבו סנאן,2017,"16,970"
אבו סנאן,2016,"16,423"
אבו סנאן,2015,"15,817"
אבן יהודה,2019,"52,133"
אבן יהודה,2018,"51,082"
אבן יהודה,2017,"46,213"
אבן יהודה,2016,"44,771"
אבן יהודה,2015,"42,515"
אום אל-פחם,2019,"117,991"
אום אל-פחם,2018,"96,952"
אום אל-פחם,2017,"87,364"
אום אל-פחם,2016,"84,588"
אום אל-פחם,2015,"82,843"
אופקים,2019,"23,331"
אופקים,2018,"22,915"
אופקים,2017,"21,189"
אופקים,2016,"19,521"
אופקים,2015,"17,784"
אור יהודה,2019,"141,338"
אור יהודה,2018,"138,254"
אור יהודה,2017,"133,665"
אור יהודה,2016,"129,737"
אור יהודה,2015,"126,692"
אור עקיבא,2019,"52,518"
אור עקיבא,2018,"49,745"
אור עקיבא,2017,"46,254"
אור עקיבא,2016,"44,493"
אור עקיבא,2015,"44,549"
אורנית,2019,"22,958"
אורנית,2018,"21,115"
אורנית,2017,"19,371"
אורנית,2016,"18,316"
אורנית,2015,"17,708"
אזור,2019,"53,234"
אזור,2018,"50,619"
אזור,2017,"46,132"
אזור,2016,"44,028"
אזור,2015,"43,900"
אילת,2019,"323,725"
אילת,2018,"316,698"
אילת,2017,"307,048"
אילת,2016,"296,655"
אילת,2015,"289,622"
אכסאל,2019,"17,447"
אכסאל,2018,"17,328"
אכסאל,2017,"16,753"
אכסאל,2016,"15,183"
אכסאל,2015,"14,435"
אליכין,2019,"44,105"
אליכין,2018,"46,722"
אליכין,2017,"42,790"
אליכין,2016,"37,926"
אליכין,2015,"34,942"
אלעד,2019,"61,965"
אלעד,2018,"60,974"
אלעד,2017,"55,444"
אלעד,2016,"53,062"
אלעד,2015,"52,034"
אלפי מנשה,2019,"21,236"
אלפי מנשה,2018,"20,407"
אלפי מנשה,2017,"19,740"
אלפי מנשה,2016,"18,010"
אלפי מנשה,2015,"17,127"
אלקנה,2019,"10,314"
אלקנה,2018,"10,303"
אלקנה,2017,"10,050"
אלקנה,2016,"9,440"
אלקנה,2015,"8,513"
אעבלין,2019,"18,203"
אעבלין,2018,"18,083"
אעבלין,2017,"17,653"
אעבלין,2016,"18,931"
אעבלין,2015,"17,427"
אפרת,2019,"22,991"
אפרת,2018,"21,808"
אפרת,2017,"19,809"
אפרת,2016,"16,872"
אפרת,2015,"15,941"
אריאל,2019,"52,471"
אריאל,2018,"51,134"
אריאל,2017,"47,867"
אריאל,2016,"45,162"
אריאל,2015,"42,952"
אשדוד,2019,"857,870"
אשדוד,2018,"848,427"
אשדוד,2017,"808,832"
אשדוד,2016,"777,219"
אשדוד,2015,"738,255"
אשקלון,2019,"488,443"
אשקלון,2018,"474,510"
אשקלון,2017,"424,735"
אשקלון,2016,"407,359"
אשקלון,2015,"382,052"
באקה אל-גרביה,2019,"52,651"
באקה אל-גרביה,2018,"52,698"
באקה אל-גרביה,2017,"50,849"
באקה אל-גרביה,2016,"50,209"
באקה אל-גרביה,2015,"52,323"
באר יעקב,2019,"94,032"
באר יעקב,2018,"87,805"
באר יעקב,2017,"91,070"
באר יעקב,2016,"75,380"
באר יעקב,2015,"72,331"
באר שבע,2019,"919,235"
באר שבע,2018,"812,242"
באר שבע,2017,"840,024"
באר שבע,2016,"805,282"
באר שבע,2015,"777,489"
בועיינה-נוג'ידאת,2019,"11,462"
