סמל צורת יישוב,סמל יישוב,שם יישוב,נכנסים,יוצאים,מאזן הגירה פנימית
280,472,אבו גוש,144,85,59
270,473,אבו סנאן,156,196,-40
450,1342,אבו קורינאת (יישוב),226,4,222
450,1375,אבו תלול,1224,0,1224
290,652,אבטין,23,47,-24
370,1275,אבטליון,52,14,38
310,679,אביאל,35,36,-1
310,1115,אביבים,7,18,-11
310,819,אביגדור,48,33,15
310,175,אביחיל,85,83,2
310,2052,אביטל,5,22,-17
310,1070,אביעזר,40,50,-10
370,1220,אבירים,13,16,-3
170,182,אבן יהודה,553,480,73
310,1081,אבן מנחם,17,14,3
310,783,אבן ספיר,17,26,-9
350,400,אבן שמואל,141,40,101
310,4011,אבני איתן,20,27,-7
370,3793,אבני חפץ,99,125,-26
370,3786,אבנת,7,11,-4
370,1311,אבשלום,14,4,10
370,3759,אדורה,19,25,-6
310,113,אדירים,10,6,4
310,1123,אדרת,17,39,-22
310,446,אודים,57,72,-15
320,4010,אודם,9,8,1
310,1046,אוהד,3,10,-7
250,2710,אום אל-פחם,207,313,-106
450,2024,אום אל-קוטוף,20,17,3
290,1358,אום בטין,507,5,502
350,1108,אומן,27,18,9
310,680,אומץ,41,15,26
160,31,אופקים,1499,929,570
320,1294,אור הגנוז,1,16,-15
330,67,אור הנר,41,44,-3
160,2400,אור יהודה,695,1151,-456
170,1020,אור עקיבא,694,544,150
310,780,אורה,41,109,-68
310,2012,אורות,25,32,-7
330,4013,אורטל,13,18,-5
330,403,אורים,27,21,6
180,3760,אורנית,450,412,38
330,278,אושה,6,5,1
170,565,אזור,566,653,-87
350,1157,אחווה,4,11,-7
310,821,אחוזם,17,24,-7
190,1330,אחוזת ברק,125,84,41
310,785,אחיהוד,44,47,-3
310,850,אחיטוב,31,49,-18
310,804,אחיסמך,39,74,-35
310,797,אחיעזר,86,57,29
340,338,איבים,12,79,-67
330,716,אייל,23,9,14
330,77,איילת השחר,30,68,-38
330,294,אילון,63,38,25
330,1126,אילות,18,43,-25
310,49,אילנייה,22,32,-10
150,2600,אילת,2911,3097,-186
370,1336,אירוס,141,8,133
370,3762,איתמר,78,60,18
310,37,איתן,19,23,-4
270,478,אכסאל,99,97,2
450,1339,אל -עזי,10,47,-37
450,1316,אל -עריאן,4,4,0
330,4003,אל -רום,20,14,6
280,1359,אל סייד,1776,5,1771
350,1145,אלומה,28,35,-7
330,330,אלומות,30,18,12
310,1182,אלון הגליל,55,40,15
370,3579,אלון מורה,66,133,-67
190,3604,אלון שבות,123,279,-156
320,429,אלוני אבא,44,36,8
320,4017,אלוני הבשן,10,14,-4
340,868,אלוני יצחק,3,23,-20
330,285,אלונים,25,13,12
310,4002,אלי-עד,37,16,21
370,1365,אליאב,57,1,56
190,41,אליכין,132,154,-22
330,1248,אליפז,11,29,-18
310,730,אליפלט,18,28,-10
310,682,אליקים,39,40,-1
310,204,אלישיב,16,30,-14
310,841,אלישמע,43,77,-34
310,1125,אלמגור,19,16,3
330,3556,אלמוג,21,19,2
160,1309,אלעד,1007,1474,-467
190,3618,אלעזר,75,178,-103
180,3750,אלפי מנשה,364,343,21
310,603,אלקוש,7,19,-12
190,3560,אלקנה,149,275,-126
310,772,אמונים,37,43,-6
310,1064,אמירים,48,43,5
310,1253,אמנון,17,25,-8
320,23,אמציה,7,165,-158
310,4012,אניעם,16,23,-7
370,3754,אספר,89,41,48
270,529,אעבלין,108,107,1
330,4301,אפיק,33,6,27
330,176,אפיקים,43,74,-31
330,313,אפק,60,8,52
170,3650,אפרת,1110,432,678
310,701,ארבל,27,32,-5
310,3598,ארגמן,7,7,0
330,714,ארז,37,20,17
160,3570,אריאל,661,776,-115
350,1324,ארסוף,16,21,-5
310,71,אשבול,71,5,66
330,1276,אשבל,12,2,10
130,70,אשדוד,3427,6253,-2826
330,199,אשדות יעקב (איחוד),32,40,-8
330,188,אשדות יעקב (מאוחד),51,25,26
370,1188,אשחר,42,21,21
370,3722,אשכולות,95,50,45
340,2021,אשל הנשיא,12,5,7
370,1152,אשלים,73,61,12
140,7100,אשקלון,4156,3601,555
370,1256,אשרת,28,27,1
310,740,אשתאול,30,69,-39
260,6000,באקה אל-גרביה,220,217,3
370,21,באר אורה,135,38,97
370,1376,באר גנים,293,42,251
310,155,באר טוביה,76,37,39
160,2530,באר יעקב,3399,804,2595
310,1278,באר מילכה,9,0,9
130,9000,באר שבע,4326,6137,-1811
330,450,בארות יצחק,13,15,-2
310,697,בארותיים,40,39,1
330,399,בארי,27,26,1
310,559,בוסתן הגליל,93,48,45
280,482,בועיינה-נוג'ידאת,90,67,23
280,4001,בוקעאתא,25,24,1
310,698,בורגתה,58,66,-8
330,2043,בחן,24,27,-3
310,762,בטחה,31,24,7
310,234,ביצרון,53,33,20
280,998,ביר אל-מכסור,61,64,-3
280,1348,ביר הדאג',376,4,372
350,368,בירייה,83,86,-3
330,317,בית אורן,23,22,1
180,3574,בית אל,157,434,-277
310,562,בית אלעזרי,62,68,-6
330,95,בית אלפא,13,45,-32
180,3652,בית אריה,292,181,111
340,1076,בית ברל,5,17,-12
270,480,בית ג'ן,55,56,-1
330,619,בית גוברין,6,14,-8
310,571,בית גמליאל,44,32,12
180,466,בית דגן,248,307,-59
310,723,בית הגדי,80,35,45
310,373,בית הלוי,40,59,-19
310,322,בית הלל,32,45,-13
330,572,בית העמק,14,14,0
330,3645,בית הערבה,71,10,61
330,242,בית השיטה,45,44,1
350,353,בית זיד,1,4,-3
310,710,בית זית,68,96,-28
330,143,בית זרע,64,42,22
370,3575,בית חורון,83,58,25
320,877,בית חירות,56,50,6
310,2033,בית חלקיה,27,35,-8
310,159,בית חנן,31,62,-31
310,800,בית חנניה,31,33,-2
190,1050,בית חשמונאי,75,93,-18
310,288,בית יהושע,49,80,-31
310,265,בית יוסף,25,7,18
310,200,בית ינאי,13,35,-22
191,326,בית יצחק-שער חפר,77,124,-47
310,430,בית לחם הגלילית,47,19,28
310,751,בית מאיר,62,72,-10
310,784,בית נחמיה,21,47,-26
330,16,בית ניר,20,8,12
310,672,בית נקופה,103,55,48
310,202,בית עובד,9,34,-25
310,301,בית עוזיאל,42,32,10
310,756,בית עזרא,56,50,6
310,604,בית עריף,40,21,19
340,212,בית צבי,15,24,-9
330,598,בית קמה,18,21,-3
330,365,בית קשת,68,12,56
340,848,בית רבן,77,131,-54
330,1162,בית רימון,104,17,87
170,9200,בית שאן,606,418,188
140,2610,בית שמש,3518,2963,555
310,248,בית שערים,28,36,-8
310,747,בית שקמה,28,42,-14
310,252,ביתן אהרן,42,15,27
150,3780,ביתר עילית,1449,1610,-161
310,94,בלפוריה,56,42,14
310,760,בן זכאי,59,38,21
310,712,בן עמי,45,52,-7
340,1084,בן שמן (כפר נוער),17,13,4
310,2013,בן שמן (מושב),45,51,-6
140,6100,בני ברק,3412,6523,-3111
370,1368,בני דקלים,129,15,114
320,592,בני דרום,68,17,51
320,386,בני דרור,55,54,1
370,4015,בני יהודה,54,54,0
310,1363,בני נצרים,44,36,8
310,448,בני עטרות,35,38,-3
180,1066,"בני עי""ש",195,286,-91
310,418,בני ציון,26,93,-67
310,588,בני ראם,48,68,-20
310,685,בניה,26,35,-9
170,9800,בנימינה-גבעת עדה*,579,595,-16
280,1326,"בסמ""ה",93,78,15
280,944,בסמת טבעון,79,111,-32
280,483,בענה,106,107,-1
310,389,בצרה,55,41,14
310,589,בצת,26,13,13
310,864,בקוע,21,20,1
310,3612,בקעות,0,13,-13
310,823,בר גיורא,18,39,-21
370,1191,בר יוחאי,88,63,25
370,3744,ברוכין,135,13,122
330,428,ברור חיל,48,32,16
310,2060,ברוש,54,12,42
190,3710,ברכה,166,102,64
310,746,ברכיה,66,36,30
330,667,ברעם,4,10,-6
310,141,ברק,23,33,-10
330,617,ברקאי,8,21,-13
370,3654,ברקן,74,92,-18
191,2038,ברקת,90,62,28
350,1323,בת הדר,32,41,-9
350,1361,בת חן,27,35,-8
180,1319,בת חפר,101,205,-104
140,6200,בת ים,4003,6172,-2169
370,3794,בת עין,81,96,-15
310,33,בת שלמה,32,35,-3
260,1292,ג'דיידה-מכר,232,225,7
