שם רשות מקומית,שנה,רכב פרטי
אבו גוש,2015,"1,548"
אבו גוש,2016,"1,701"
אבו גוש,2017,"1,880"
אבו גוש,2018,"2,009"
אבו גוש,2019,"2,133"
אבו סנאן,2015,"3,530"
אבו סנאן,2016,"3,795"
אבו סנאן,2017,"4,137"
אבו סנאן,2018,"4,412"
אבו סנאן,2019,"4,670"
אבו קורינאת (יישוב),2015,36
אבו קורינאת (יישוב),2016,56
אבו קורינאת (יישוב),2017,78
אבו קורינאת (יישוב),2018,84
אבו קורינאת (יישוב),2019,97
אבו תלול,2015,4
אבו תלול,2016,19
אבו תלול,2017,16
אבו תלול,2018,75
אבו תלול,2019,92
אבטין,2015,635
אבטין,2016,687
אבטין,2017,746
אבטין,2018,775
אבטין,2019,820
אבטליון,2015,125
אבטליון,2016,138
אבטליון,2017,150
אבטליון,2018,171
אבטליון,2019,166
אביאל,2015,288
אביאל,2016,296
אביאל,2017,286
אביאל,2018,312
אביאל,2019,321
אביבים,2015,188
אביבים,2016,197
אביבים,2017,208
אביבים,2018,208
אביבים,2019,200
אביגדור,2015,299
אביגדור,2016,312
אביגדור,2017,316
אביגדור,2018,329
אביגדור,2019,345
אביחיל,2015,529
אביחיל,2016,543
אביחיל,2017,566
אביחיל,2018,599
אביחיל,2019,619
אביטל,2015,191
אביטל,2016,200
אביטל,2017,199
אביטל,2018,202
אביטל,2019,218
אביעזר,2015,243
אביעזר,2016,266
אביעזר,2017,270
אביעזר,2018,280
אביעזר,2019,288
אבירים,2015,75
אבירים,2016,91
אבירים,2017,96
אבירים,2018,92
אבירים,2019,121
אבן יהודה,2015,"5,336"
אבן יהודה,2016,"5,534"
אבן יהודה,2017,"5,714"
אבן יהודה,2018,"5,876"
אבן יהודה,2019,"6,031"
אבן מנחם,2015,140
אבן מנחם,2016,145
אבן מנחם,2017,153
אבן מנחם,2018,154
אבן מנחם,2019,158
אבן ספיר,2015,236
אבן ספיר,2016,242
אבן ספיר,2017,254
אבן ספיר,2018,260
אבן ספיר,2019,261
אבן שמואל,2015,289
אבן שמואל,2016,336
אבן שמואל,2017,396
אבן שמואל,2018,447
אבן שמואל,2019,478
אבני איתן,2015,156
אבני איתן,2016,179
אבני איתן,2017,213
אבני איתן,2018,218
אבני איתן,2019,229
אבני חפץ,2015,324
אבני חפץ,2016,367
אבני חפץ,2017,419
אבני חפץ,2018,450
אבני חפץ,2019,503
אבנת,2015,21
אבנת,2016,29
אבנת,2017,35
אבנת,2018,37
אבנת,2019,49
אבשלום,2015,79
אבשלום,2016,84
אבשלום,2017,87
אבשלום,2018,101
אבשלום,2019,102
אדורה,2015,107
אדורה,2016,120
אדורה,2017,134
אדורה,2018,131
אדורה,2019,133
אדירים,2015,87
אדירים,2016,86
אדירים,2017,89
אדירים,2018,89
אדירים,2019,88
אדמית,2015,116
אדמית,2016,135
אדמית,2017,145
אדמית,2018,153
אדמית,2019,149
אדרת,2015,230
אדרת,2016,248
אדרת,2017,254
אדרת,2018,258
אדרת,2019,275
אודים,2015,430
אודים,2016,480
אודים,2017,501
אודים,2018,496
אודים,2019,496
אודם,2015,66
אודם,2016,68
אודם,2017,71
אודם,2018,78
אודם,2019,75
אוהד,2015,133
אוהד,2016,137
אוהד,2017,144
אוהד,2018,152
אוהד,2019,163
אום אל-פחם,2015,"12,518"
אום אל-פחם,2016,"13,606"
אום אל-פחם,2017,"14,911"
אום אל-פחם,2018,"15,939"
אום אל-פחם,2019,"17,054"
אום אל-קוטוף,2015,297
אום אל-קוטוף,2016,336
אום אל-קוטוף,2017,360
אום אל-קוטוף,2018,381
אום אל-קוטוף,2019,397
אום בטין,2015,242
אום בטין,2016,294
אום בטין,2017,316
אום בטין,2018,384
אום בטין,2019,382
אומן,2015,129
אומן,2016,140
אומן,2017,156
אומן,2018,168
אומן,2019,174
אומץ,2015,255
אומץ,2016,258
אומץ,2017,285
אומץ,2018,296
אומץ,2019,308
אופקים,2015,"5,067"
אופקים,2016,"5,537"
אופקים,2017,"6,108"
אופקים,2018,"6,620"
אופקים,2019,"7,118"
אור הגנוז,2015,65
אור הגנוז,2016,74
אור הגנוז,2017,88
אור הגנוז,2018,86
אור הגנוז,2019,97
אור הנר,2015,235
אור הנר,2016,262
אור הנר,2017,271
אור הנר,2018,286
אור הנר,2019,314
אור יהודה,2015,"10,310"
אור יהודה,2016,"10,803"
אור יהודה,2017,"11,262"
אור יהודה,2018,"11,513"
אור יהודה,2019,"28,949"
אור עקיבא,2015,"4,938"
אור עקיבא,2016,"5,279"
אור עקיבא,2017,"5,712"
אור עקיבא,2018,"6,122"
אור עקיבא,2019,"6,518"
אורה,2015,396
אורה,2016,408
אורה,2017,413
אורה,2018,419
אורה,2019,436
אורות,2015,201
אורות,2016,204
אורות,2017,208
אורות,2018,217
אורות,2019,217
אורטל,2015,91
אורטל,2016,100
אורטל,2017,111
אורטל,2018,118
אורטל,2019,138
אורים,2015,91
אורים,2016,100
אורים,2017,114
אורים,2018,120
אורים,2019,128
אורנית,2015,"3,246"
אורנית,2016,"3,440"
אורנית,2017,"3,565"
אורנית,2018,"3,663"
אורנית,2019,"3,782"
אושה,2015,117
אושה,2016,128
אושה,2017,130
אושה,2018,132
אושה,2019,138
אזור,2015,"4,350"
אזור,2016,"4,698"
אזור,2017,"4,849"
אזור,2018,"5,023"
אזור,2019,"5,145"
אחווה,2015,88
אחווה,2016,89
אחווה,2017,100
אחווה,2018,96
אחווה,2019,93
אחוזם,2015,142
אחוזם,2016,163
אחוזם,2017,171
אחוזם,2018,204
אחוזם,2019,205
אחוזת ברק,2015,782
אחוזת ברק,2016,825
אחוזת ברק,2017,874
אחוזת ברק,2018,928
אחוזת ברק,2019,979
אחיהוד,2015,252
אחיהוד,2016,281
אחיהוד,2017,304
אחיהוד,2018,337
אחיהוד,2019,337
אחיטוב,2015,356
אחיטוב,2016,361
אחיטוב,2017,388
אחיטוב,2018,403
אחיטוב,2019,415
אחיסמך,2015,465
אחיסמך,2016,489
אחיסמך,2017,546
אחיסמך,2018,576
אחיסמך,2019,613
אחיעזר,2015,507
אחיעזר,2016,525
אחיעזר,2017,564
אחיעזר,2018,600
אחיעזר,2019,644
איבים,2015,6
איבים,2016,7
איבים,2017,8
איבים,2018,3
איבים,2019,3
אייל,2015,182
אייל,2016,185
אייל,2017,201
אייל,2018,208
אייל,2019,225
איילת השחר,2015,316
איילת השחר,2016,326
איילת השחר,2017,339
איילת השחר,2018,358
איילת השחר,2019,384
אילון,2015,341
אילון,2016,349
אילון,2017,389
אילון,2018,398
אילון,2019,412
אילות,2015,81
אילות,2016,82
אילות,2017,87
אילות,2018,85
אילות,2019,83
אילנייה,2015,181
אילנייה,2016,197
אילנייה,2017,224
אילנייה,2018,243
אילנייה,2019,251
אילת,2015,"14,206"
אילת,2016,"15,083"
אילת,2017,"15,988"
אילת,2018,"16,780"
אילת,2019,"17,430"
אירוס,2015,92
אירוס,2016,131
אירוס,2017,180
אירוס,2018,235
אירוס,2019,265
איתמר,2015,192
איתמר,2016,219
איתמר,2017,238
איתמר,2018,262
איתמר,2019,274
איתן,2015,128
איתן,2016,127
איתן,2017,132
איתן,2018,144
איתן,2019,163
אכסאל,2015,"3,576"
אכסאל,2016,"3,942"
אכסאל,2017,"4,279"
אכסאל,2018,"4,519"
אכסאל,2019,"4,814"
אל סייד,2015,45
אל סייד,2016,53
אל סייד,2017,67
אל סייד,2018,177
אל סייד,2019,200
אל -עזי,2015,23
אל -עזי,2016,22
אל -עזי,2017,19
אל -עזי,2018,17
אל -עזי,2019,20
אל -עריאן,2015,49
אל -עריאן,2016,55
אל -עריאן,2017,56
אל -עריאן,2018,63
אל -עריאן,2019,69
אל -רום,2015,119
אל -רום,2016,132
אל -רום,2017,138
אל -רום,2018,151
אל -רום,2019,170
אלומה,2015,64
אלומה,2016,64
אלומה,2017,74
אלומה,2018,88
אלומה,2019,102
אלומות,2015,110
אלומות,2016,128
אלומות,2017,131
אלומות,2018,149
אלומות,2019,156
אלון הגליל,2015,361
אלון הגליל,2016,392
אלון הגליל,2017,438
אלון הגליל,2018,463
אלון הגליל,2019,486
אלון מורה,2015,323
אלון מורה,2016,312
אלון מורה,2017,346
אלון מורה,2018,392
אלון מורה,2019,403
אלון שבות,2015,752
אלון שבות,2016,799
אלון שבות,2017,854
אלון שבות,2018,877
אלון שבות,2019,898
אלוני אבא,2015,355
אלוני אבא,2016,368
אלוני אבא,2017,379
אלוני אבא,2018,396
אלוני אבא,2019,404
אלוני הבשן,2015,83
אלוני הבשן,2016,90
אלוני הבשן,2017,112
אלוני הבשן,2018,104
אלוני הבשן,2019,117
אלוני יצחק,2015,17
אלוני יצחק,2016,20
אלוני יצחק,2017,19
אלוני יצחק,2018,16
אלוני יצחק,2019,16
אלונים,2015,194
אלונים,2016,207
אלונים,2017,213
אלונים,2018,233
אלונים,2019,243
אליאב,2015,47
אליאב,2016,59
אליאב,2017,77
אליאב,2018,95
אליאב,2019,128
אליכין,2015,"1,243"
אליכין,2016,"1,300"
אליכין,2017,"1,340"
אליכין,2018,"1,393"
אליכין,2019,"1,415"
אלי-עד,2015,139
אלי-עד,2016,152
אלי-עד,2017,158
אלי-עד,2018,166
אלי-עד,2019,179
אליפז,2015,21
אליפז,2016,32
אליפז,2017,42
אליפז,2018,50
אליפז,2019,49
אליפלט,2015,240
אליפלט,2016,258
אליפלט,2017,260
אליפלט,2018,280
אליפלט,2019,289
אליקים,2015,243
אליקים,2016,259
אליקים,2017,276
אליקים,2018,295
אליקים,2019,296
אלישיב,2015,261
אלישיב,2016,282
אלישיב,2017,282
אלישיב,2018,280
אלישיב,2019,286
אלישמע,2015,439
אלישמע,2016,456
אלישמע,2017,472
אלישמע,2018,480
אלישמע,2019,508
אלמגור,2015,134
אלמגור,2016,147
אלמגור,2017,157
אלמגור,2018,156
אלמגור,2019,158
אלמוג,2015,67
אלמוג,2016,89
אלמוג,2017,104
אלמוג,2018,108
אלמוג,2019,107
אלעד,2015,"4,506"
אלעד,2016,"4,792"
אלעד,2017,"5,141"
אלעד,2018,"5,384"
אלעד,2019,"5,615"
אלעזר,2015,550
אלעזר,2016,584
אלעזר,2017,611
אלעזר,2018,640
אלעזר,2019,645
אלפי מנשה,2015,"2,965"
אלפי מנשה,2016,"3,128"
אלפי מנשה,2017,"3,130"
אלפי מנשה,2018,"3,221"
אלפי מנשה,2019,"3,291"
אלקוש,2015,117
אלקוש,2016,132
אלקוש,2017,139
אלקוש,2018,143
אלקוש,2019,141
אלקנה,2015,"1,290"
אלקנה,2016,"1,340"
אלקנה,2017,"1,370"
אלקנה,2018,"1,390"
אלקנה,2019,"1,437"
אמונים,2015,348
אמונים,2016,375
אמונים,2017,392
אמונים,2018,399
אמונים,2019,445
אמירים,2015,264
אמירים,2016,285
אמירים,2017,292
אמירים,2018,321
אמירים,2019,335
אמנון,2015,161
אמנון,2016,162
אמנון,2017,168
אמנון,2018,189
אמנון,2019,218
אמציה,2015,159
אמציה,2016,164
אמציה,2017,129
אמציה,2018,111
אמציה,2019,87
אניעם,2015,184
אניעם,2016,210
אניעם,2017,229
אניעם,2018,225
אניעם,2019,226
אספר,2015,78
אספר,2016,98
אספר,2017,113
אספר,2018,122
אספר,2019,147
אעבלין,2015,"3,431"
אעבלין,2016,"3,657"
אעבלין,2017,"3,975"
אעבלין,2018,"4,297"
אעבלין,2019,"4,487"
אפיק,2015,87
אפיק,2016,86
אפיק,2017,97
אפיק,2018,124
אפיק,2019,126
אפיקים,2015,248
אפיקים,2016,249
אפיקים,2017,278
אפיקים,2018,308
אפיקים,2019,315
אפק,2015,169
אפק,2016,195
אפק,2017,204
אפק,2018,226
אפק,2019,232
אפרת,2015,"2,416"
אפרת,2016,"2,675"
אפרת,2017,"2,939"
אפרת,2018,"3,228"
אפרת,2019,"3,433"
ארבל,2015,200
ארבל,2016,230
ארבל,2017,249
ארבל,2018,240
ארבל,2019,247
ארגמן,2015,70
ארגמן,2016,76
ארגמן,2017,71
ארגמן,2018,75
ארגמן,2019,75
ארז,2015,162
ארז,2016,174
ארז,2017,190
ארז,2018,209
ארז,2019,211
אריאל,2015,"4,765"
אריאל,2016,"5,145"
אריאל,2017,"5,512"
אריאל,2018,"5,702"
אריאל,2019,"5,779"
ארסוף,2015,64
ארסוף,2016,74
ארסוף,2017,77
ארסוף,2018,81
ארסוף,2019,75
אשבול,2015,152
אשבול,2016,186
אשבול,2017,183
אשבול,2018,214
אשבול,2019,228
אשבל,2015,11
אשבל,2016,8
אשבל,2017,6
אשבל,2018,6
אשבל,2019,8
אשדוד,2015,"49,042"
אשדוד,2016,"51,646"
אשדוד,2017,"54,009"
אשדוד,2018,"56,144"
אשדוד,2019,"57,453"
אשדות יעקב (איחוד),2015,264
אשדות יעקב (איחוד),2016,280
אשדות יעקב (איחוד),2017,289
אשדות יעקב (איחוד),2018,312
אשדות יעקב (איחוד),2019,315
אשדות יעקב (מאוחד),2015,144
אשדות יעקב (מאוחד),2016,169
אשדות יעקב (מאוחד),2017,182
אשדות יעקב (מאוחד),2018,199
אשדות יעקב (מאוחד),2019,207
אשחר,2015,198
אשחר,2016,237
אשחר,2017,254
אשחר,2018,280
אשחר,2019,282
אשכולות,2015,128
אשכולות,2016,151
אשכולות,2017,160
אשכולות,2018,194
אשכולות,2019,210
אשל הנשיא,2015,40
אשל הנשיא,2016,42
אשל הנשיא,2017,47
אשל הנשיא,2018,54
אשל הנשיא,2019,53
אשלים,2015,146
אשלים,2016,162
אשלים,2017,183
אשלים,2018,190
אשלים,2019,199
אשקלון,2015,"35,900"
אשקלון,2016,"38,853"
אשקלון,2017,"41,382"
אשקלון,2018,"43,649"
אשקלון,2019,"45,631"
אשרת,2015,317
אשרת,2016,356
אשרת,2017,346
אשרת,2018,353
אשרת,2019,373
אשתאול,2015,320
אשתאול,2016,346
אשתאול,2017,371
אשתאול,2018,362
אשתאול,2019,378
באקה אל-גרביה,2015,"7,669"
באקה אל-גרביה,2016,"8,338"
באקה אל-גרביה,2017,"8,975"
באקה אל-גרביה,2018,"9,532"
באקה אל-גרביה,2019,"10,084"
באר אורה,2015,150
באר אורה,2016,200
באר אורה,2017,235
באר אורה,2018,265
באר אורה,2019,301
באר גנים,2015,123
באר גנים,2016,253
באר גנים,2017,403
באר גנים,2018,493
באר גנים,2019,574
באר טוביה,2015,418
באר טוביה,2016,472
באר טוביה,2017,506
באר טוביה,2018,551
באר טוביה,2019,584
באר יעקב,2015,"5,536"
באר יעקב,2016,"6,238"
באר יעקב,2017,"7,512"
באר יעקב,2018,"8,494"
באר יעקב,2019,"9,152"
באר מילכה,2015,28
באר מילכה,2016,30
באר מילכה,2017,33
באר מילכה,2018,33
באר מילכה,2019,42
באר שבע,2015,"53,269"
באר שבע,2016,"57,158"
באר שבע,2017,"61,123"
באר שבע,2018,"63,994"
באר שבע,2019,"66,177"
בארות יצחק,2015,75
בארות יצחק,2016,91
בארות יצחק,2017,91
בארות יצחק,2018,92
בארות יצחק,2019,105
בארותיים,2015,367
בארותיים,2016,419
בארותיים,2017,429
בארותיים,2018,435
בארותיים,2019,453
בארי,2015,181
בארי,2016,175
בארי,2017,194
בארי,2018,203
בארי,2019,209
בוסתן הגליל,2015,293
בוסתן הגליל,2016,355
בוסתן הגליל,2017,396
בוסתן הגליל,2018,430
בוסתן הגליל,2019,443
בועיינה-נוג'ידאת,2015,"2,221"
בועיינה-נוג'ידאת,2016,"2,392"
בועיינה-נוג'ידאת,2017,"2,656"
בועיינה-נוג'ידאת,2018,"2,852"
בועיינה-נוג'ידאת,2019,"3,050"
בוקעאתא,2015,"1,510"
בוקעאתא,2016,"1,664"
בוקעאתא,2017,"1,857"
בוקעאתא,2018,"1,990"
בוקעאתא,2019,"2,150"
בורגתה,2015,428
בורגתה,2016,406
בורגתה,2017,429
בורגתה,2018,436
בורגתה,2019,454
בחן,2015,262
בחן,2016,272
בחן,2017,292
בחן,2018,312
בחן,2019,326
בטחה,2015,243
בטחה,2016,252
בטחה,2017,267
בטחה,2018,282
בטחה,2019,296
ביצרון,2015,435
ביצרון,2016,463
ביצרון,2017,484
ביצרון,2018,508
ביצרון,2019,525
ביר אל-מכסור,2015,"2,253"
ביר אל-מכסור,2016,"2,389"
ביר אל-מכסור,2017,"2,614"
ביר אל-מכסור,2018,"2,796"
ביר אל-מכסור,2019,"3,003"
ביר הדאג',2015,98
ביר הדאג',2016,154
ביר הדאג',2017,147
ביר הדאג',2018,184
ביר הדאג',2019,212
בירייה,2015,271
בירייה,2016,294
בירייה,2017,309
בירייה,2018,316
בירייה,2019,328
בית אורן,2015,135
בית אורן,2016,136
בית אורן,2017,131
בית אורן,2018,135
בית אורן,2019,160
בית אל,2015,981
בית אל,2016,"1,028"
בית אל,2017,"1,085"
בית אל,2018,"1,121"
בית אל,2019,"1,207"
בית אלעזרי,2015,565
בית אלעזרי,2016,582
בית אלעזרי,2017,603
בית אלעזרי,2018,626
בית אלעזרי,2019,634
בית אלפא,2015,165
בית אלפא,2016,166
בית אלפא,2017,179
בית אלפא,2018,196
בית אלפא,2019,207
בית אריה-עופרים,2015,"1,715"
בית אריה-עופרים,2016,"1,846"
בית אריה-עופרים,2017,"1,963"
בית אריה-עופרים,2018,"2,085"
בית אריה-עופרים,2019,"2,161"
בית ברל,2015,25
בית ברל,2016,26
בית ברל,2017,23
בית ברל,2018,18
בית ברל,2019,11
בית גוברין,2015,135
בית גוברין,2016,131
בית גוברין,2017,146
בית גוברין,2018,146
בית גוברין,2019,158
בית גמליאל,2015,336
בית גמליאל,2016,367
בית גמליאל,2017,392
בית גמליאל,2018,416
בית גמליאל,2019,430
בית ג'ן,2015,"2,986"
בית ג'ן,2016,"3,245"
בית ג'ן,2017,"3,588"
בית ג'ן,2018,"3,752"
בית ג'ן,2019,"4,027"
בית דגן,2015,"2,539"
בית דגן,2016,"2,845"
בית דגן,2017,"2,924"
בית דגן,2018,"3,023"
בית דגן,2019,"3,179"
בית הגדי,2015,231
בית הגדי,2016,252
בית הגדי,2017,263
בית הגדי,2018,273
בית הגדי,2019,299
בית הלוי,2015,308
בית הלוי,2016,302
בית הלוי,2017,328
בית הלוי,2018,325
בית הלוי,2019,327
בית הלל,2015,277
בית הלל,2016,287
בית הלל,2017,297
בית הלל,2018,313
בית הלל,2019,311
בית העמק,2015,160
בית העמק,2016,173
בית העמק,2017,201
בית העמק,2018,194
בית העמק,2019,203
בית הערבה,2015,44
בית הערבה,2016,42
בית הערבה,2017,60
בית הערבה,2018,75
בית הערבה,2019,98
בית השיטה,2015,457
בית השיטה,2016,479
בית השיטה,2017,493
בית השיטה,2018,511
בית השיטה,2019,533
בית זיד,2015,27
בית זיד,2016,28
בית זיד,2017,27
בית זיד,2018,28
בית זיד,2019,29
בית זית,2015,603
בית זית,2016,618
בית זית,2017,683
בית זית,2018,704
בית זית,2019,730
בית זרע,2015,150
בית זרע,2016,158
בית זרע,2017,160
בית זרע,2018,174
בית זרע,2019,200
בית חורון,2015,370
בית חורון,2016,394
בית חורון,2017,412
בית חורון,2018,436
בית חורון,2019,449
בית חירות,2015,310
בית חירות,2016,319
בית חירות,2017,342
בית חירות,2018,345
בית חירות,2019,363
בית חלקיה,2015,130
בית חלקיה,2016,149
בית חלקיה,2017,155
בית חלקיה,2018,157
בית חלקיה,2019,165
בית חנן,2015,252
בית חנן,2016,271
בית חנן,2017,286
בית חנן,2018,285
בית חנן,2019,310
בית חנניה,2015,304
בית חנניה,2016,309
בית חנניה,2017,319
בית חנניה,2018,336
בית חנניה,2019,337
בית חשמונאי,2015,747
בית חשמונאי,2016,772
בית חשמונאי,2017,799
בית חשמונאי,2018,815
בית חשמונאי,2019,810
בית יהושע,2015,375
בית יהושע,2016,374
בית יהושע,2017,389
בית יהושע,2018,404
בית יהושע,2019,419
בית יוסף,2015,143
בית יוסף,2016,159
בית יוסף,2017,169
בית יוסף,2018,172
בית יוסף,2019,193
בית ינאי,2015,166
בית ינאי,2016,200
בית ינאי,2017,197
בית ינאי,2018,205
בית ינאי,2019,211
בית יצחק-שער חפר,2015,913
בית יצחק-שער חפר,2016,975
בית יצחק-שער חפר,2017,979
בית יצחק-שער חפר,2018,987
בית יצחק-שער חפר,2019,"1,035"
בית לחם הגלילית,2015,308
בית לחם הגלילית,2016,321
בית לחם הגלילית,2017,320
בית לחם הגלילית,2018,362
בית לחם הגלילית,2019,367
בית מאיר,2015,153
בית מאיר,2016,156
בית מאיר,2017,169
בית מאיר,2018,183
בית מאיר,2019,192
בית נחמיה,2015,358
בית נחמיה,2016,377
בית נחמיה,2017,392
בית נחמיה,2018,395
בית נחמיה,2019,443
בית ניר,2015,186
בית ניר,2016,194
בית ניר,2017,192
בית ניר,2018,213
בית ניר,2019,214
בית נקופה,2015,215
בית נקופה,2016,235
בית נקופה,2017,252
בית נקופה,2018,269
בית נקופה,2019,280
בית עובד,2015,161
בית עובד,2016,162
בית עובד,2017,160
בית עובד,2018,144
בית עובד,2019,165
בית עוזיאל,2015,223
בית עוזיאל,2016,239
בית עוזיאל,2017,234
בית עוזיאל,2018,258
בית עוזיאל,2019,266
בית עזרא,2015,415
בית עזרא,2016,432
בית עזרא,2017,456
בית עזרא,2018,466
בית עזרא,2019,491
בית עריף,2015,355
בית עריף,2016,391
בית עריף,2017,401
בית עריף,2018,418
בית עריף,2019,428
בית צבי,2015,15
בית צבי,2016,15
בית צבי,2017,17
בית צבי,2018,23
בית צבי,2019,25
בית קמה,2015,288
בית קמה,2016,321
בית קמה,2017,332
בית קמה,2018,327
בית קמה,2019,331
בית קשת,2015,155
בית קשת,2016,158
בית קשת,2017,182
בית קשת,2018,193
בית קשת,2019,198
בית רבן,2015,107
בית רבן,2016,115
בית רבן,2017,124
בית רבן,2018,136
בית רבן,2019,135
בית רימון,2015,131
בית רימון,2016,140
בית רימון,2017,156
בית רימון,2018,184
בית רימון,2019,206
בית שאן,2015,"4,817"
בית שאן,2016,"5,184"
בית שאן,2017,"5,473"
בית שאן,2018,"5,788"
בית שאן,2019,"6,041"
בית שמש,2015,"11,909"
בית שמש,2016,"13,146"
בית שמש,2017,"14,286"
בית שמש,2018,"15,251"
בית שמש,2019,"16,377"
בית שערים,2015,285
בית שערים,2016,301
בית שערים,2017,318
בית שערים,2018,319
בית שערים,2019,334
בית שקמה,2015,274
בית שקמה,2016,310
בית שקמה,2017,324
בית שקמה,2018,344
בית שקמה,2019,351
ביתן אהרן,2015,92
ביתן אהרן,2016,99
ביתן אהרן,2017,120
ביתן אהרן,2018,119
ביתן אהרן,2019,118
ביתר עילית,2015,"2,684"
ביתר עילית,2016,"3,108"
ביתר עילית,2017,"3,512"
ביתר עילית,2018,"3,880"
ביתר עילית,2019,"4,203"
בלפוריה,2015,239
בלפוריה,2016,271
בלפוריה,2017,291
בלפוריה,2018,308
בלפוריה,2019,303
בן זכאי,2015,283
בן זכאי,2016,313
בן זכאי,2017,312
בן זכאי,2018,332
בן זכאי,2019,337
בן עמי,2015,263
בן עמי,2016,274
בן עמי,2017,291
בן עמי,2018,294
בן עמי,2019,307
בן שמן (כפר נוער),2015,63
בן שמן (כפר נוער),2016,64
בן שמן (כפר נוער),2017,70
בן שמן (כפר נוער),2018,76
בן שמן (כפר נוער),2019,75
בן שמן (מושב),2015,381
בן שמן (מושב),2016,396
בן שמן (מושב),2017,404
בן שמן (מושב),2018,407
בן שמן (מושב),2019,415
בני ברק,2015,"67,141"
בני ברק,2016,"42,129"
בני ברק,2017,"16,620"
בני ברק,2018,"17,105"
בני ברק,2019,"17,976"
בני דקלים,2015,140
בני דקלים,2016,165
בני דקלים,2017,196
בני דקלים,2018,232
בני דקלים,2019,273
בני דרום,2015,178
בני דרום,2016,188
בני דרום,2017,222
בני דרום,2018,235
בני דרום,2019,245
בני דרור,2015,553
בני דרור,2016,559
בני דרור,2017,575
בני דרור,2018,556
