שם רשות מקומית,שנה,"שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",אחוז השכירים המשתכרים עד שכר מינימום,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,"מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא)"
אבו גוש,2019,"7,294.00",41.9,40.4,0.3
אבו גוש,2018,"7,271.30",41.4,36.3,0.4
אבו גוש,2017,"7,054.70",40,39.8,0.4
אבו גוש,2016,"6,591.10",41.5,45.5,0.3
אבו גוש,2015,"6,275.60",42.2,53.1,0.3
אבו סנאן,2019,"7,071.20",50.6,41.7,0.4
אבו סנאן,2018,"6,831.90",50.5,47.5,0.4
אבו סנאן,2017,"6,688.50",48.7,44.9,0.4
אבו סנאן,2016,"6,226.10",50.8,46.9,0.4
אבו סנאן,2015,"6,060.40",49.7,44.6,0.4
אבן יהודה,2019,"14,054.00",31.7,36.4,0.5
אבן יהודה,2018,"14,482.90",30.2,37.9,0.5
אבן יהודה,2017,"14,368.20",27.8,35,0.5
אבן יהודה,2016,"13,553.50",29.4,32.6,0.5
אבן יהודה,2015,"13,502.90",27.6,32.3,0.5
אום אל-פחם,2019,"5,869.80",60,40.4,0.4
אום אל-פחם,2018,"5,851.80",59.9,41.7,0.4
אום אל-פחם,2017,"5,650.90",58.6,42.5,0.4
אום אל-פחם,2016,"5,361",59.4,42,0.4
אום אל-פחם,2015,"5,289",56.9,44.5,0.4
אופקים,2019,"9,398.10",43.6,39.7,0.5
אופקים,2018,"10,047.40",40.4,42.9,0.5
אופקים,2017,"9,677.50",39.3,41.6,0.5
אופקים,2016,"9,264",40.1,40.3,0.5
אופקים,2015,"9,496",38.1,39.4,0.4
אור יהודה,2019,"8,953.90",36.9,36.6,0.4
אור יהודה,2018,"8,543.20",37.6,41.1,0.4
אור יהודה,2017,"8,305.50",36.5,38.6,0.4
אור יהודה,2016,"7,859",38.3,37.1,0.4
אור יהודה,2015,"7,827",36.5,39.8,0.4
אור עקיבא,2019,"8,315.80",38.1,37.5,0.4
אור עקיבא,2018,"8,248.90",37.6,41.8,0.4
אור עקיבא,2017,"7,862.60",36.8,38.7,0.4
אור עקיבא,2016,"7,343",38.6,41.4,0.4
אור עקיבא,2015,"7,117",38,43.8,0.4
אורנית,2019,"13,425.20",29.6,37.3,0.4
אורנית,2018,"13,915.10",27.3,37.7,0.4
אורנית,2017,"13,479.60",27,30.4,0.4
אורנית,2016,"12,728.90",28.5,30.4,0.4
אורנית,2015,"12,827.80",26,35.9,0.4
אזור,2019,"10,266.20",32.5,32.4,0.4
אזור,2018,"9,806.50",33.7,38.3,0.4
אזור,2017,"9,579.80",32.1,34,0.4
אזור,2016,"9,128.50",33.4,36.8,0.4
אזור,2015,"9,091.60",31.9,39.4,0.4
אילת,2019,"8,745.40",35.5,31.1,0.4
אילת,2018,"8,521.70",35.7,32.5,0.4
אילת,2017,"8,236.30",35.2,28.4,0.4
אילת,2016,"7,706",37.1,30,0.4
אילת,2015,"7,634",35.5,29.2,0.4
אכסאל,2019,"6,840.90",53.6,32,0.4
אכסאל,2018,"6,828.00",52.4,31.1,0.4
אכסאל,2017,"6,694.90",50.7,30.6,0.4
אכסאל,2016,"6,317.60",51.7,32.9,0.4
אכסאל,2015,"6,080.00",51.4,31.9,0.4
אליכין,2019,"12,479.70",31.9,29.9,0.4
אליכין,2018,"12,725.70",25.9,33.9,0.4
אליכין,2017,"12,473.50",24.6,27.1,0.4
אליכין,2016,"11,889",26,29.1,0.4
אליכין,2015,"11,778",21.1,30.2,0.4
אלעד,2019,"6,518.70",52.8,44.7,0.4
אלעד,2018,"6,705.60",50.2,50,0.4
אלעד,2017,"6,567.00",49.2,51.6,0.4
אלעד,2016,"6,219",50.1,47.7,0.4
אלעד,2015,"6,129",48.6,50.7,0.4
אלפי מנשה,2019,"12,265.50",30.5,33.4,0.4
אלפי מנשה,2018,"12,645.70",27.6,34.4,0.4
אלפי מנשה,2017,"12,452.50",26.2,34,0.4
אלפי מנשה,2016,"11,807.20",26.8,32.4,0.4
אלפי מנשה,2015,"11,856.90",25.4,31.6,0.4
אלקנה,2019,"12,268.20",33.5,40,0.5
אלקנה,2018,"12,224.50",32.8,49.1,0.5
אלקנה,2017,"11,939.50",32.5,31.1,0.5
אלקנה,2016,"11,151.10",34.9,28.8,0.5
אלקנה,2015,"11,331.60",33.7,33.7,0.4
אעבלין,2019,"6,617.80",50.4,42.3,0.4
אעבלין,2018,"6,609.80",50.9,43.7,0.4
